plate,status,category,reviewer_comments,review_reason_code,customer_meaning
AZIZ714,Rejected,Vulgar or degrading term,714 AREA CODE,2,LAST NAME
BATBOX1,Rejected,Sexual connotation,BOX,1,BATMOBILE (BATMAN) PLUS SHAPE OF VEHICLE (SCION XB)
BBOMBS,Rejected,Vulgar or degrading term,BOMBS,2,NO MICRO AVAILABLE
BEACHY1,Rejected,Negative connotation to group,BEACHY LOOKS LIKE BITCHY 1,4,LOVE THE BEACH
BLK PWR5,Rejected,Vulgar or degrading term,BLACK POWER,2,STRENGTH OF FAMILY
CHERIPI,Rejected,Sexual connotation,CHERRY PIE,1,CHERRY PIE
CIO FTW,Rejected,Negative connotation to group,FUCK THE WORLD,4,NO MICRO AVAILABLE
DAVES88,Rejected,Vulgar or degrading term,88 HITLER REFRENCE,2,DAVES 1988 TOYOTA
DMOBGFY,Rejected,Vulgar or degrading term,MOB,2,GREEK SLANG FOR I LOVE YOU
DOITFKR,Rejected,Negative connotation to group,DO IT FUCKER,4,DO IT
EGGPUTT,Accepted,Vulgar or degrading term,SLANG FOR FAT GUY PER URBAN DICTIONARY,2,NO MICRO AVAILABLE
F DIABDZ,Rejected,Vulgar or degrading term,FUCK DIABETES,2,IT MEANS FOREVER DIABETES. ITS ARE DIABETES FOUNDATION WE WALK EVERY YEAR.
FJ 666,Accepted,Vulgar or degrading term,666 EVIL,2,FJ IS MY BORN CITY.666IS MY LUCKLY NUMBER
FKK OFF,Rejected,Vulgar or degrading term,FUCK OFF,2,FREIKÖRPER-KULTUR (GERMAN)
FKN BLAK,Rejected,Vulgar or degrading term,FUCKING BLACK,2,"FKN IS INITIALS FOR MY 3 GREAT GRANDMAS FRANCINE, KAREN AND ""N"" FOR NANNY. AND THE WORD BLAK ""BLACK"" BECAUSE MY CAR APPEARS BLACK"
FLT ATCK,Rejected,Vulgar or degrading term,FLAT ATTACK,2,NO MICRO AVAILABLE
F LUPUS,Rejected,Vulgar or degrading term,FUCK LUPUS,2,FIGHT LUPUS
HVNNHEL,Accepted,Vulgar or degrading term,HEAVEN AND HELL,2,ALBUM TITLE
H8DES,Rejected,Vulgar or degrading term,HATE DES,2,FAVORITE GREEK MYTH
ILL NKA,Rejected,Vulgar or degrading term,ILL NIGGA,2,"""ILL"" POPULAR TERM IN THE 90'S MEANING COOL. ""NKA"" SHORTER FOR MY NICKNAME 'NEIKA'."
KISMI S,Rejected,Vulgar or degrading term,KISS MY ASS,2,MY NICKNAME IS KISMMIE AND MY REAL NAME STARTS WITH AN S
LHGLA88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2,TRAVEL THROUGH LOS ANGELES
MMA515O,Accepted,Vulgar or degrading term,5150 CRAZY,2,MIXED MARTIAL ARTS
