plate,status,category,reviewer_comments,review_reason_code,customer_meaning
AZIZ714,Rejected,Vulgar or degrading term,714 AREA CODE,2.0,LAST NAME
BATBOX1,Rejected,Sexual connotation,BOX,1.0,BATMOBILE (BATMAN) PLUS SHAPE OF VEHICLE (SCION XB)
BBOMBS,Rejected,Vulgar or degrading term,BOMBS,2.0,NO MICRO AVAILABLE
BEACHY1,Rejected,Negative connotation to group,BEACHY LOOKS LIKE BITCHY 1,4.0,LOVE THE BEACH
BLK PWR5,Rejected,Vulgar or degrading term,BLACK POWER,2.0,STRENGTH OF FAMILY
CHERIPI,Rejected,Sexual connotation,CHERRY PIE,1.0,CHERRY PIE
CIO FTW,Rejected,Negative connotation to group,FUCK THE WORLD,4.0,NO MICRO AVAILABLE
DAVES88,Rejected,Vulgar or degrading term,88 HITLER REFRENCE,2.0,DAVES 1988 TOYOTA
DMOBGFY,Rejected,Vulgar or degrading term,MOB,2.0,GREEK SLANG FOR I LOVE YOU
DOITFKR,Rejected,Negative connotation to group,DO IT FUCKER,4.0,DO IT
EGGPUTT,Accepted,Vulgar or degrading term,SLANG FOR FAT GUY PER URBAN DICTIONARY,2.0,NO MICRO AVAILABLE
F DIABDZ,Rejected,Vulgar or degrading term,FUCK DIABETES,2.0,IT MEANS FOREVER DIABETES. ITS ARE DIABETES FOUNDATION WE WALK EVERY YEAR.
FJ 666,Accepted,Vulgar or degrading term,666 EVIL,2.0,FJ IS MY BORN CITY.666IS MY LUCKLY NUMBER
FKK OFF,Rejected,Vulgar or degrading term,FUCK OFF,2.0,FREIKÖRPER-KULTUR (GERMAN)
FKN BLAK,Rejected,Vulgar or degrading term,FUCKING BLACK,2.0,"FKN IS INITIALS FOR MY 3 GREAT GRANDMAS FRANCINE, KAREN AND ""N"" FOR NANNY. AND THE WORD BLAK ""BLACK"" BECAUSE MY CAR APPEARS BLACK"
FLT ATCK,Rejected,Vulgar or degrading term,FLAT ATTACK,2.0,NO MICRO AVAILABLE
F LUPUS,Rejected,Vulgar or degrading term,FUCK LUPUS,2.0,FIGHT LUPUS
HVNNHEL,Accepted,Vulgar or degrading term,HEAVEN AND HELL,2.0,ALBUM TITLE
H8DES,Rejected,Vulgar or degrading term,HATE DES,2.0,FAVORITE GREEK MYTH
ILL NKA,Rejected,Vulgar or degrading term,ILL NIGGA,2.0,"""ILL"" POPULAR TERM IN THE 90'S MEANING COOL. ""NKA"" SHORTER FOR MY NICKNAME 'NEIKA'."
KISMI S,Rejected,Vulgar or degrading term,KISS MY ASS,2.0,MY NICKNAME IS KISMMIE AND MY REAL NAME STARTS WITH AN S
LHGLA88,Rejected,Vulgar or degrading term,88 HITLER REFERENCE,2.0,TRAVEL THROUGH LOS ANGELES
MMA515O,Accepted,Vulgar or degrading term,5150 CRAZY,2.0,MIXED MARTIAL ARTS
MTN SCAT,Rejected,Vulgar or degrading term,SCAT SHIT,2.0,MOUNTAIN SCAT PACK
OAK KLAN,Rejected,Vulgar or degrading term,KLAN,2.0,CITY I GREW UP IN.
PORKS15,Rejected,Misrepresents law enforcement,PORKS PIG,5.0,NO MICRO AVAILABLE
POT POM,Rejected,Vulgar or degrading term,POT,2.0,NO MICRO AVAILABLE
PSYCDVA,Rejected,Sexual connotation,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHIC,1.0,PSYCHOLOGIST DIVA
