date,plate
10/1/2010,ANDARE
10/1/2010,1TWIN
10/1/2010,11VROD
10/1/2010,4SKNMC
10/1/2010,7IRON6
10/1/2010,FINALI
10/1/2010,GOKEY
10/1/2010,TLR
10/1/2010,TRM
10/1/2010,G1DBE
10/1/2010,UBPHD
10/1/2010,CCNMO
10/1/2010,CEF1A1
10/1/2010,VSPA
10/1/2010,WS28
10/1/2010,DASH2
10/1/2010,ELIE
10/1/2010,2CHARM
10/1/2010,2TWINS
10/1/2010,K2JFK
10/1/2010,2002A
10/1/2010,4LOU4
10/1/2010,4LUCK
10/1/2010,77OH7
10/1/2010,ML350
10/1/2010,MMFP
10/1/2010,MOYER
10/1/2010,NIPA
10/1/2010,NYVP2
10/1/2010,NYY347
10/1/2010,PR1999
10/1/2010,PURR
10/1/2010,AACVI
10/1/2010,ABL34
10/1/2010,SJPCADET
10/1/2010,SKINSCHL
10/1/2010,SKOERTS
10/1/2010,EZEL07
10/1/2010,SLOVE
10/1/2010,SMOVADO
10/1/2010,SNIK613
10/1/2010,ALL4RISA
10/1/2010,SONIDO1
10/1/2010,ALWL
10/1/2010,AMTF168
10/1/2010,SPYGURL
10/1/2010,FEARJAH
10/1/2010,ARMYNG
10/1/2010,FLASHBK2
10/1/2010,FORDPOWR
10/1/2010,A75
10/1/2010,A752
10/1/2010,BABYEVO
10/1/2010,F1LEONE
10/1/2010,BAM641
10/1/2010,TCAP
10/1/2010,TECHNK
10/1/2010,BELCOO
10/1/2010,BENNICK
10/1/2010,GOAUBRN
10/1/2010,TLUVSZ
10/1/2010,GPASLV
10/1/2010,TOOHAPPY
10/1/2010,TRACKER6
10/1/2010,GTA1989
10/1/2010,TTRBO7
10/1/2010,BPILLA
10/1/2010,TWICKS
10/1/2010,CAELA
10/1/2010,UTOG134
10/1/2010,HI5NY
10/1/2010,CAMLOT13
10/1/2010,CAMLOT14
10/1/2010,VALDIZON
10/1/2010,VEENDAM
10/1/2010,VERGASER
10/1/2010,HOTGTR
10/1/2010,CCCNY
10/1/2010,CEYLON1
10/1/2010,VRAJ
10/1/2010,HYEVLCTY
10/1/2010,CKG
10/1/2010,ILVYRKES
10/1/2010,IMSPRTCS
10/1/2010,COOLMYK
10/1/2010,COYOTEHP
10/1/2010,CULTR
10/1/2010,JAGSS100
10/1/2010,XTOPHERX
10/1/2010,XXFJXX
10/1/2010,JAZZ4CB
10/1/2010,DANYJETS
10/1/2010,YUHAN1
10/1/2010,JGG1
10/1/2010,JISJR
10/1/2010,DERJAGER
10/1/2010,JML28
10/1/2010,DINOGT
10/1/2010,JNGLLND
10/1/2010,DLW810
10/1/2010,1BRONSON
10/1/2010,JS8888
10/1/2010,1KMCSBC2
10/1/2010,JUGHEAD
10/1/2010,JUPITER
10/1/2010,1RMP
10/1/2010,1STRNGBW
10/1/2010,DRYBSMT
10/1/2010,KAHRAMN2
10/1/2010,KANITAT
10/1/2010,DURWOOD
10/1/2010,143EET
10/1/2010,2BONAIRE
10/1/2010,ELITE151
10/1/2010,EMPERORI
10/1/2010,KYRILESN
10/1/2010,LAKELUV2
10/1/2010,LANDY
10/1/2010,LAX09
10/1/2010,302UTOG
10/1/2010,LITZA
10/1/2010,LLUVS71
10/1/2010,LOLA240
10/1/2010,4UU2NV
10/1/2010,479SWIM
10/1/2010,5HAGS
10/1/2010,LUVARTS
10/1/2010,LUVMIBYS
10/1/2010,LUVODIE
10/1/2010,5836PN
10/1/2010,LYRIX
10/1/2010,MAGGIEE
10/1/2010,67XKEJAG
10/1/2010,MANGANO1
10/1/2010,69SBEST
10/1/2010,70NOVA
10/1/2010,8ARORA8
10/1/2010,81CAMZ28
10/1/2010,926KVP
10/1/2010,MJPAJP
10/1/2010,MLEKAR
10/1/2010,MORT1MER
10/1/2010,MS556
10/1/2010,MTNB1KER
10/1/2010,NILSENLA
10/1/2010,NSTYCHIC
10/1/2010,OLYMPICS
10/1/2010,OMALLEYS
10/1/2010,PARLOR
10/1/2010,PFD3
10/1/2010,PHILZ8
10/1/2010,PROCPA
10/1/2010,RAILS4U
10/1/2010,RB27
10/1/2010,RDSPIKE2
10/1/2010,REF1031
10/1/2010,RJBCIB
10/1/2010,RMPH
10/1/2010,RONNIE07
10/1/2010,RONNY2
10/1/2010,RONSTRK
10/1/2010,ROTT
10/1/2010,SCORD
10/1/2010,SETT
10/1/2010,SHOWLS6
10/1/2010,SHP
10/1/2010,BM750
10/1/2010,LENGED
10/2/2010,GOHST
10/2/2010,GREENN
10/2/2010,C3LT1C
10/2/2010,DIAVEL
10/2/2010,ADC824
10/2/2010,AX6898
10/2/2010,GALTEK
10/2/2010,TINMTH
10/2/2010,TONI1
10/2/2010,CARDLR
10/2/2010,JROSED
10/2/2010,JS550
10/2/2010,2S3
10/2/2010,MCB6
10/2/2010,NINA64
10/2/2010,PLMBR
10/2/2010,PLMBR1
10/2/2010,PLMBR2
10/2/2010,PM822
10/2/2010,SASHA2
10/2/2010,AAANY20
10/2/2010,SJOCOA
10/2/2010,ADKS46R
10/2/2010,EXORCZED
10/2/2010,SLIMSSON
10/2/2010,SMALL
10/2/2010,SMKESHCK
10/2/2010,AKOG
10/2/2010,ALBIN502
10/2/2010,ALISHA2
10/2/2010,AMDSRVS1
10/2/2010,FBJARA
10/2/2010,STEEKS
10/2/2010,FIRYMANE
10/2/2010,SUEMALL
10/2/2010,AURAVOIR
10/2/2010,BACK268
10/2/2010,FYAWORKS
10/2/2010,F7RUNS9S
10/2/2010,BEEGEES
10/2/2010,THECEPH
10/2/2010,GOD4GIV
10/2/2010,BJD17
10/2/2010,GONRACIN
10/2/2010,GOOLDO
10/2/2010,TONGORE
10/2/2010,BLUBOMBR
10/2/2010,BOOLIEXO
10/2/2010,BREAKAWY
10/2/2010,BSAIN
10/2/2010,UBUNTU
10/2/2010,BUBBL3S
10/2/2010,HEALEY59
10/2/2010,HIBERNIA
10/2/2010,HND2HND2
10/2/2010,VIPER08
10/2/2010,VITA1
10/2/2010,VMVC
10/2/2010,HVACPROF
10/2/2010,IAMA55
10/2/2010,IGOTAHMR
10/2/2010,WHYPAVE
10/2/2010,WLYMKYDK
10/2/2010,WVLIET1
10/2/2010,JAG7
10/2/2010,YEROOOOO
10/2/2010,YESNAMEN
10/2/2010,JETSBABE
10/2/2010,DEC4
10/2/2010,ZESA
10/2/2010,ZGR62
10/2/2010,DERSH
10/2/2010,JLO1
10/2/2010,JOLENA78
10/2/2010,1HEDWIG1
10/2/2010,10BUCK
10/2/2010,10MJS
10/2/2010,DVSMITH
10/2/2010,1939MRB
10/2/2010,EKX0001
10/2/2010,KJP3
10/2/2010,ELITE148
10/2/2010,2WINMOM
10/2/2010,K3YBORDS
10/2/2010,2210GO
10/2/2010,LADYBUGH
10/2/2010,30YRNOUT
10/2/2010,4BIGK9S
10/2/2010,LMBS
10/2/2010,LNDNCOVE
10/2/2010,LOWONAIR
10/2/2010,5F501
10/2/2010,LUVUCOCO
10/2/2010,59FC
10/2/2010,MARYNEL
10/2/2010,71CHVYSS
10/2/2010,73NOV
10/2/2010,74KATHYJ
10/2/2010,74KISS
10/2/2010,MIZTRESS
10/2/2010,MLEWIS
10/2/2010,MLKNCKEZ
10/2/2010,MOOVIN
10/2/2010,MPCC2
10/2/2010,MX793
10/2/2010,MY3CHOWS
10/2/2010,NASTYC5
10/2/2010,NOIRCAR
10/2/2010,NYL1
10/2/2010,N3VRL8
10/2/2010,OEM3STAR
10/2/2010,ONDATOWN
10/2/2010,ON3LOV3
10/2/2010,PJSMILES
10/2/2010,PMS366
10/2/2010,POPOLI4
10/2/2010,PROFETTA
10/2/2010,PSCH141
10/2/2010,PSH2LMT
10/2/2010,RALPHEEE
10/2/2010,RAMNA
10/2/2010,RBL65
10/2/2010,REEVER
10/2/2010,REGGIEC
10/2/2010,ROMANN
10/2/2010,RRTRAINS
10/2/2010,RXWL
10/2/2010,SCAP1
10/2/2010,SCRFF
10/2/2010,JP1
10/4/2010,BANDBOX
10/4/2010,BOBTERY
10/4/2010,MABEE
10/4/2010,9COUNTY
10/4/2010,PAULNY
10/5/2010,SPIKES
10/5/2010,SY5688
10/5/2010,GREEN3
10/5/2010,HAULER
10/5/2010,IOUAA
10/5/2010,ELLIES
10/5/2010,69TRY
10/5/2010,PHX14
10/5/2010,SING3R
10/5/2010,SMUSH
10/5/2010,ARLEN4
10/5/2010,BIGSKY
10/5/2010,GOBDGR
10/5/2010,BO5TON
10/5/2010,VELINA
10/5/2010,H27HM3
10/5/2010,CHICKN
10/5/2010,ILVEU2
10/5/2010,YY6068
10/5/2010,JOANEY
10/5/2010,K9FRED
10/5/2010,33HAS
10/5/2010,LOLA10
10/5/2010,6281TD
10/5/2010,MBZ
10/5/2010,MONA19
10/5/2010,MP888
10/5/2010,MVPDAD
10/5/2010,MYKAL2
10/5/2010,MYNYYS
10/5/2010,SETTER
10/5/2010,AA8888
10/5/2010,SILLYMOM
10/5/2010,SIRJ
10/5/2010,ACURAFAN
10/5/2010,SJOCOA2
10/5/2010,AFCJETS
10/5/2010,SMTNLAKE
10/5/2010,SOONASTY
10/5/2010,FAST111S
10/5/2010,SPIRALZ
10/5/2010,FCS105
10/5/2010,FD142
10/5/2010,ANKURA
10/5/2010,FILAMS
10/5/2010,STAIRON
10/5/2010,STANG98
10/5/2010,SUMMR79
10/5/2010,AVA
10/5/2010,SUNNY104
10/5/2010,SUNNY105
10/5/2010,SUNNY106
10/5/2010,SUNNY107
10/5/2010,SUNNY108
10/5/2010,SUNNY109
10/5/2010,SUNNY110
10/5/2010,SUNNY111
10/5/2010,SUNNY112
10/5/2010,SUNNY113
10/5/2010,SUPERSTA
10/5/2010,FPIII
10/5/2010,FRSTTRX
10/5/2010,SXYDRB
10/5/2010,S1CKBRO
10/5/2010,BARNALA
10/5/2010,TAKITEZ
10/5/2010,BBQ911
10/5/2010,TATTUD3
10/5/2010,TAYLER
10/5/2010,GEORGIST
10/5/2010,BERVWIN
10/5/2010,THEHATT
10/5/2010,THEOTIS1
10/5/2010,THEOTIS2
10/5/2010,BILEGOAT
10/5/2010,TK1
10/5/2010,TMEUP
10/5/2010,TOFISH
10/5/2010,BLESSIAM
10/5/2010,BLS501
10/5/2010,TORFACE
10/5/2010,BNDT79
10/5/2010,GRVSTN
10/5/2010,GR1M3Y
10/5/2010,BORN2ROK
10/5/2010,GTRUS
10/5/2010,GUTFISH
10/5/2010,BRILYN
10/5/2010,TUURBO
10/5/2010,BRS31
10/5/2010,HACKIE
10/5/2010,BTRUTH
10/5/2010,BUDGRL29
10/5/2010,BUFBILLS
10/5/2010,HATZOLA
10/5/2010,UNOUCME
10/5/2010,USAGEN
10/5/2010,HOLDEM1
10/5/2010,VG356
10/5/2010,VINNYS69
10/5/2010,CFP4MDS
10/5/2010,CFUNRLHM
10/5/2010,CHEVYHD
10/5/2010,IAMTHIAM
10/5/2010,WAHHHHHH
10/5/2010,WALPPR4U
10/5/2010,CHUXTANG
10/5/2010,ICOOLYOU
10/5/2010,CIAOORSO
10/5/2010,IFD146
10/5/2010,ILT
10/5/2010,COLELLA1
10/5/2010,CORAX
10/5/2010,INSKI
10/5/2010,INTA028
10/5/2010,IROCLI87
10/5/2010,WSA
10/5/2010,WYZGUY1
10/5/2010,WYZGUY2
10/5/2010,W1TCHGRL
10/5/2010,CTVETTE
10/5/2010,JAZZLUVR
10/5/2010,JBURDEN
10/5/2010,DC135K9
10/5/2010,DDSROSE
10/5/2010,JG194
10/5/2010,ZANY
10/5/2010,ZARCONE4
10/5/2010,ZOPOUL21
10/5/2010,DHFDC
10/5/2010,ZZZU
10/5/2010,0101KIE
10/5/2010,03PICKUP
10/5/2010,1CEL
