plate,status,category
ANDARE,Accepted,Not Applicable
1TWIN,Accepted,Not Applicable
11VROD,Accepted,Not Applicable
4SKNMC,Accepted,Not Applicable
7IRON6,Accepted,Not Applicable
FINALI,Accepted,Not Applicable
GOKEY,Accepted,Not Applicable
TLR,Accepted,Not Applicable
TRM,Accepted,Not Applicable
G1DBE,Accepted,Not Applicable
UBPHD,Accepted,Not Applicable
CCNMO,Accepted,Not Applicable
CEF1A1,Accepted,Not Applicable
VSPA,Accepted,Not Applicable
WS28,Accepted,Not Applicable
DASH2,Accepted,Not Applicable
ELIE,Accepted,Not Applicable
2CHARM,Accepted,Not Applicable
2TWINS,Accepted,Not Applicable
K2JFK,Accepted,Not Applicable
2002A,Accepted,Not Applicable
4LOU4,Accepted,Not Applicable
4LUCK,Accepted,Not Applicable
77OH7,Accepted,Not Applicable
ML350,Accepted,Not Applicable
MMFP,Accepted,Not Applicable
MOYER,Accepted,Not Applicable
NIPA,Accepted,Not Applicable
NYVP2,Accepted,Not Applicable
NYY347,Accepted,Not Applicable
PR1999,Accepted,Not Applicable
PURR,Accepted,Not Applicable
AACVI,Accepted,Not Applicable
ABL34,Accepted,Not Applicable
SJPCADET,Accepted,Not Applicable
SKINSCHL,Accepted,Not Applicable
SKOERTS,Accepted,Not Applicable
EZEL07,Accepted,Not Applicable
SLOVE,Accepted,Not Applicable
SMOVADO,Accepted,Not Applicable
SNIK613,Accepted,Not Applicable
ALL4RISA,Accepted,Not Applicable
SONIDO1,Accepted,Not Applicable
ALWL,Accepted,Not Applicable
AMTF168,Accepted,Not Applicable
SPYGURL,Accepted,Not Applicable
FEARJAH,Accepted,Not Applicable
ARMYNG,Accepted,Not Applicable
FLASHBK2,Accepted,Not Applicable
FORDPOWR,Accepted,Not Applicable
A75,Accepted,Not Applicable
A752,Accepted,Not Applicable
BABYEVO,Accepted,Not Applicable
F1LEONE,Accepted,Not Applicable
BAM641,Accepted,Not Applicable
TCAP,Accepted,Not Applicable
TECHNK,Accepted,Not Applicable
BELCOO,Accepted,Not Applicable
BENNICK,Accepted,Not Applicable
GOAUBRN,Accepted,Not Applicable
TLUVSZ,Accepted,Not Applicable
GPASLV,Accepted,Not Applicable
TOOHAPPY,Accepted,Not Applicable
TRACKER6,Accepted,Not Applicable
GTA1989,Accepted,Not Applicable
TTRBO7,Accepted,Not Applicable
BPILLA,Accepted,Not Applicable
TWICKS,Accepted,Not Applicable
CAELA,Accepted,Not Applicable
UTOG134,Accepted,Not Applicable
HI5NY,Accepted,Not Applicable
CAMLOT13,Accepted,Not Applicable
CAMLOT14,Accepted,Not Applicable
VALDIZON,Accepted,Not Applicable
